Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,God of War 2023,XSX,2019.0,Action,Ubisoft,5.48,0.09,0.08,0.75,6.4
2,The Legend of Zelda Origins,PS4,2023.0,Role-Playing,Nintendo,4.7,0.81,0.54,0.4,6.45
3,Cyberpunk 2024,PC,2020.0,Adventure,Activision,2.47,0.63,1.15,0.42,4.67
4,Pokemon Infinite,XOne,2022.0,Adventure,Activision,0.61,0.26,0.09,0.19,1.15
5,Halo 2022,XSX,2019.0,Sports,Sony Computer Entertainment,0.24,0.43,0.08,0.22,0.97
6,Grand Theft Auto Infinite,PS5,2016.0,Sports,Ubisoft,0.63,0.42,0.01,0.17,1.23
7,Minecraft Origins,X360,2017.0,Adventure,Activision,3.23,0.12,0.21,0.06,3.62
8,Forza Horizon 2024,XSX,2017.0,Action,Sony Computer Entertainment,0.17,0.01,0.5,0.05,0.73
9,Red Dead Redemption 2024,XSX,2021.0,Platform,,0.28,0.17,0.17,0.27,0.89
10,Forza Horizon V,PS4,2021.0,Sports,Nintendo,0.98,0.51,0.26,0.66,2.41
11,God of War 2022,PC,2020.0,Role-Playing,Ubisoft,0.08,1.03,0.49,0.09,1.69
12,Forza Horizon 2024,PS3,2019.0,Adventure,Electronic Arts,2.54,1.39,0.34,0.3,4.57
13,Red Dead Redemption Remastered,XOne,2018.0,Action,Electronic Arts,0.26,0.86,0.17,0.04,1.33
14,Grand Theft Auto Ultra,PS4,2016.0,Adventure,Take-Two Interactive,0.09,0.08,0.27,0.23,0.67
15,FIFA Soccer Origins,XOne,2018.0,Role-Playing,Electronic Arts,1.57,0.52,0.8,0.31,3.2
16,Call of Duty V,XSX,,Shooter,Take-Two Interactive,0.29,0.32,0.07,0.17,0.85
17,Red Dead Redemption Infinite,PS4,2020.0,Role-Playing,Activision,0.08,0.02,0.09,0.19,0.38
18,Pokemon V,PC,2019.0,Role-Playing,Take-Two Interactive,0.46,0.09,0.1,0.37,1.02
19,Grand Theft Auto 2023,Switch,2017.0,Racing,Ubisoft,0.66,0.01,0.04,0.05,0.76
20,Call of Duty Ultra,PC,2018.0,Sports,Sony Computer Entertainment,0.57,0.12,0.21,0.03,0.93
21,Cyberpunk V,XSX,2020.0,Adventure,Activision,1.28,1.47,0.16,0.37,3.28
22,Halo Ultra,X360,2015.0,Shooter,Take-Two Interactive,0.38,0.07,0.43,0.09,0.97
23,Cyberpunk V,PC,2020.0,Adventure,Take-Two Interactive,0.4,0.84,0.12,0.12,1.48
24,Red Dead Redemption Ultra,XOne,2016.0,Platform,Take-Two Interactive,3.16,0.03,0.21,0.22,3.62
25,Grand Theft Auto Origins,PS5,2023.0,Role-Playing,Take-Two Interactive,0.09,0.11,0.06,0.18,0.44
26,Forza Horizon Origins,PS4,2021.0,Platform,Ubisoft,0.17,2.02,0.17,1.3,3.66
27,God of War V,X360,2022.0,Shooter,Activision,1.69,1.39,0.39,0.45,3.92
28,Halo 2023,XOne,2016.0,Adventure,Ubisoft,0.0,2.07,0.04,0.02,2.13
29,Call of Duty Origins,PS5,2015.0,Action,Electronic Arts,0.42,1.33,0.35,0.32,2.42
30,Cyberpunk Ultra,XSX,2022.0,Platform,Activision,0.75,0.01,0.05,0.1,0.91
31,Halo Remastered,PS4,2018.0,Sports,Ubisoft,1.55,0.75,0.3,0.25,2.85
32,Forza Horizon 2023,PS5,2020.0,Adventure,Take-Two Interactive,0.27,0.07,0.2,0.18,0.72
33,Mario Kart Remastered,PS3,2019.0,Action,Nintendo,1.16,0.56,0.38,0.0,2.1
34,Red Dead Redemption 2024,XSX,2021.0,Racing,Sony Computer Entertainment,0.21,0.88,0.28,0.26,1.63
35,Cyberpunk 2022,PS5,2023.0,Role-Playing,Sony Computer Entertainment,2.19,2.12,0.11,0.5,4.92
36,Red Dead Redemption 2023,XSX,2021.0,Action,Take-Two Interactive,0.01,0.67,0.12,0.1,0.9
37,FIFA Soccer 2023,X360,2023.0,Platform,Sony Computer Entertainment,1.17,2.46,0.45,0.41,4.49
38,Minecraft 2024,X360,2015.0,Action,Sony Computer Entertainment,0.55,0.25,0.06,0.3,1.16
39,Cyberpunk Remastered,Switch,2023.0,Shooter,Electronic Arts,1.63,0.49,0.28,0.12,2.52
40,FIFA Soccer Origins,PS4,2017.0,Shooter,Electronic Arts,1.25,0.65,0.29,0.03,2.22
41,Cyberpunk Origins,XSX,2016.0,Sports,Ubisoft,0.82,1.03,0.17,0.25,2.27
42,Grand Theft Auto 2022,XOne,2020.0,Racing,Electronic Arts,2.89,0.49,0.32,0.61,4.31
43,Minecraft 2022,PC,2021.0,Platform,Nintendo,1.27,1.27,0.04,0.19,2.77
44,FIFA Soccer Remastered,PS3,2021.0,Platform,Take-Two Interactive,0.15,0.03,0.1,0.07,0.35
45,Forza Horizon Origins,PS5,2020.0,Platform,Electronic Arts,1.46,0.19,0.05,0.1,1.8
46,Red Dead Redemption 2022,XOne,2019.0,Platform,Activision,0.93,2.45,0.22,0.43,4.03
47,Cyberpunk Infinite,X360,2016.0,Action,Ubisoft,3.13,0.99,0.11,0.22,4.45
48,Red Dead Redemption Ultra,PS3,2016.0,Adventure,Take-Two Interactive,0.36,2.13,0.14,0.49,3.12
49,Pokemon V,XOne,2021.0,Adventure,Activision,0.05,2.17,0.37,0.34,2.93
50,Forza Horizon Origins,Switch,2020.0,Action,Ubisoft,4.3,0.2,0.28,0.14,4.92
51,Cyberpunk Ultra,X360,2018.0,Racing,Electronic Arts,0.38,0.07,0.83,0.12,1.4
52,Mario Kart Infinite,PS5,2016.0,Adventure,Take-Two Interactive,2.93,1.29,0.17,0.17,4.56
53,Red Dead Redemption Infinite,X360,2022.0,Shooter,Electronic Arts,1.02,3.41,0.83,0.5,5.76
54,Call of Duty Infinite,Switch,2022.0,Action,Take-Two Interactive,3.08,0.23,0.23,0.29,3.83
55,Red Dead Redemption 2022,XOne,2016.0,Sports,Activision,3.07,0.61,0.27,0.01,3.96
56,Cyberpunk Infinite,PC,2016.0,Action,Ubisoft,0.86,0.63,0.21,0.04,1.74
