Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Halo Remastered,Switch,2022.0,Adventure,Nintendo,1.0,0.14,0.05,0.01,1.2
2,Cyberpunk 2024,PC,2022.0,Racing,Activision,1.97,0.19,0.06,0.05,2.27
3,Red Dead Redemption 2022,PS4,2017.0,Shooter,Nintendo,0.53,3.27,0.19,0.49,4.48
4,FIFA Soccer Remastered,PS4,2016.0,Role-Playing,Take-Two Interactive,0.54,0.01,0.08,0.07,0.7
5,Cyberpunk Infinite,XOne,2018.0,Platform,Electronic Arts,0.22,1.13,0.17,0.06,1.58
6,FIFA Soccer 2023,XSX,2018.0,Sports,Activision,1.0,2.04,0.03,0.05,3.12
7,FIFA Soccer Infinite,Switch,2023.0,Sports,Electronic Arts,0.39,0.14,0.0,0.14,0.67
8,Pokemon 2024,PS4,2015.0,Shooter,Nintendo,1.02,2.09,0.32,0.62,4.05
9,Call of Duty Ultra,X360,2022.0,Adventure,Take-Two Interactive,1.21,0.72,0.1,0.21,2.24
10,Mario Kart 2022,Switch,2021.0,Sports,Take-Two Interactive,0.05,0.99,0.04,0.14,1.22
11,Call of Duty Remastered,Switch,2019.0,Role-Playing,Take-Two Interactive,0.32,0.42,0.42,0.06,1.22
12,Minecraft Remastered,PS5,2023.0,Sports,Ubisoft,0.12,0.49,0.07,0.13,0.81
13,Halo Remastered,PS4,2015.0,Adventure,Take-Two Interactive,0.35,0.83,0.0,0.11,1.29
14,Pokemon 2022,PC,2017.0,Racing,Electronic Arts,0.35,0.22,0.06,0.06,0.69
15,Call of Duty 2023,XSX,2021.0,Role-Playing,Take-Two Interactive,0.76,0.29,0.1,0.01,1.16
16,Minecraft Infinite,Switch,2017.0,Action,Electronic Arts,1.26,0.61,0.18,0.2,2.25
17,Cyberpunk 2024,PS4,2022.0,Adventure,Take-Two Interactive,0.7,3.28,0.15,0.42,4.55
18,Pokemon V,PS3,2018.0,Racing,Nintendo,0.43,0.2,0.37,0.41,1.41
19,God of War 2022,PS3,2022.0,Adventure,Activision,0.16,0.33,0.04,0.65,1.18
20,Red Dead Redemption Ultra,PS5,2015.0,Action,Sony Computer Entertainment,0.3,0.08,0.68,0.58,1.64
21,Mario Kart 2024,PS3,2022.0,Shooter,Sony Computer Entertainment,0.57,1.75,0.57,0.69,3.58
22,Mario Kart Ultra,PC,2023.0,Action,Nintendo,0.01,0.14,0.24,0.29,0.68
23,Call of Duty Remastered,PS4,2018.0,Platform,Ubisoft,0.5,1.09,0.38,0.09,2.06
24,Minecraft Infinite,PC,2020.0,Platform,Take-Two Interactive,4.24,0.53,0.71,0.14,5.62
25,Call of Duty Origins,XSX,2018.0,Racing,Nintendo,0.03,0.83,0.06,0.71,1.63
26,Mario Kart Remastered,PS4,2015.0,Racing,Ubisoft,0.89,0.68,1.18,0.02,2.77
27,Call of Duty Ultra,XOne,2020.0,Sports,Electronic Arts,1.31,0.68,0.03,0.24,2.26
28,Pokemon 2023,PS5,2022.0,Sports,Electronic Arts,1.31,0.97,0.13,0.09,2.5
29,God of War Ultra,Switch,2021.0,Role-Playing,Activision,0.77,1.28,0.31,0.3,2.66
30,Halo Infinite,XSX,2021.0,Sports,Activision,1.23,0.32,0.05,1.0,2.6
31,Call of Duty Remastered,PS5,2019.0,Platform,Take-Two Interactive,0.81,1.18,0.07,0.24,2.3
32,Grand Theft Auto V,X360,2016.0,Shooter,Sony Computer Entertainment,0.8,0.31,0.48,0.08,1.67
33,The Legend of Zelda 2023,Switch,2019.0,Platform,Electronic Arts,0.07,1.97,0.18,0.07,2.29
34,The Legend of Zelda 2022,PS3,2020.0,Racing,Ubisoft,1.44,0.04,0.25,0.04,1.77
35,Red Dead Redemption Origins,X360,2018.0,Action,Take-Two Interactive,0.21,0.01,0.43,0.41,1.06
36,The Legend of Zelda Infinite,PS5,2019.0,Sports,Take-Two Interactive,2.4,0.24,0.0,0.68,3.32
37,Grand Theft Auto Ultra,PS3,2015.0,Adventure,Activision,2.22,0.81,0.48,0.28,3.79
38,Mario Kart 2024,Switch,2015.0,Role-Playing,,3.57,1.89,0.07,0.02,5.55
39,Mario Kart 2023,XOne,2022.0,Adventure,Electronic Arts,0.54,0.92,0.12,0.08,1.66
40,FIFA Soccer Origins,XOne,2023.0,Racing,Sony Computer Entertainment,1.79,0.27,0.06,0.35,2.47
41,Grand Theft Auto 2023,PS4,2019.0,Adventure,Take-Two Interactive,0.3,0.91,0.4,0.07,1.68
42,Grand Theft Auto Ultra,PS4,2017.0,Platform,Ubisoft,0.54,0.01,0.71,0.02,1.28
43,Grand Theft Auto 2024,PS5,2019.0,Adventure,Ubisoft,0.38,0.32,0.33,0.35,1.38
44,The Legend of Zelda 2023,PS5,2019.0,Adventure,Take-Two Interactive,1.47,0.63,0.37,0.87,3.34
45,Call of Duty Origins,PC,2022.0,Adventure,Take-Two Interactive,0.08,1.38,0.37,0.02,1.85
46,Call of Duty V,XSX,2018.0,Action,Electronic Arts,0.47,0.99,0.2,0.12,1.78
47,Mario Kart Infinite,PC,2016.0,Shooter,Ubisoft,0.7,0.05,0.04,0.03,0.82
48,Red Dead Redemption V,PS4,2015.0,Adventure,Sony Computer Entertainment,0.1,0.6,0.17,0.41,1.28
49,The Legend of Zelda Ultra,PC,2019.0,Racing,Nintendo,0.32,0.95,0.02,0.05,1.34
50,Call of Duty Origins,PC,2021.0,Platform,Nintendo,0.05,0.26,0.9,0.55,1.76
51,Cyberpunk 2023,XSX,2022.0,Role-Playing,Activision,0.48,0.7,0.02,0.92,2.12
