case_id,date,remote_jid,push_name,text_content,reply_to_id
2,2026-07-31 21:40:14,199557250064521@lid,Você,A,
2,2026-07-31 21:44:59,199557250064521@lid,Você,"✅ *PROTECCIÓN CIVIL DIGITAL MEDELLÍN*

¡Felicidades! La nueva línea de WhatsApp (+52 232 141 0935) ha sido vinculada exitosamente con el sistema.",
2,2026-07-31 21:48:22,199557250064521@lid,Você,"🚨 *PRUEBA DE CONEXIÓN DE LÍNEA OFICIAL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

🏛️ *Dirección de Protección Civil Digital*
📍 *Municipio de Medellín de Bravo, Ver.*

📱 *Mensaje enviado desde:* Nueva Línea Oficial (+52 232 141 0935)
📲 *Recibido en:* Línea Personal/Anterior (+52 288 889 3215)

✅ Estado: *Conexión Evolution API 100% Exitosa*
🕐 Fecha y Hora: *31/Jul/2026 15:48 hrs*

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 _El sistema está listo para enviar avisos de 2FA, e-Dictámenes y Alertas Operativas de Emergencia._",
4,2026-07-31 22:17:49,214774235267138@lid,214774235267138,"**Reporte al 9-1-1 (PRELIMINAR)*
Fecha y Hora: *31/07/2026 15:50:17*
Asunto: *RESCATE ANIMAL*
Colonia: *ARBOLEDAS SAN MIGUEL*
Calle: *LIMONES 33*
Entre calles: *MANANTIAL*
Referencia: *ATRAS DE LOCALES*
Localidad: *MEDELLIN DE BRAVO*
Municipio: *MEDELLIN DE BRAVO*
*Ubicación:*https://www.google.com/maps/place/19.084308664829,-96.17915636824
*Resumen de evento*
     *INDICA QUE AYER CAYO UN ZOPILOTE
Y LO RESGUARDO
QUIERE QUE VAYAN POR EL A LAS 6 DE LA TARDE
YA QUE ESTA EN SU TRABAJO
ALAN FERNANDEZ",
4,2026-07-31 22:18:33,214774235267138@lid,Você,11 mandó,
4,2026-07-31 22:30:41,214774235267138@lid,214774235267138,"*Reporte al 9-1-1 (PRELIMINAR)*
Fecha y Hora: *31/07/2026 16:22:07*
Asunto: *OLOR A GAS-COMBUSTIBLE-QUÍMICOS*
Colonia: *FRACC. NUEVO MEDELLIN*
Calle: *EBANO 6*
Entre calles: *PASEO LOS ROBLES Y CEDROS*
Referencia: *POR LA TIENDA EL WERO A MANO DERECHA A MITAD DE CUADRA*
Localidad: *NO ESPECIFICADO*
Municipio: *MEDELLIN DE BRAVO*
*Ubicación:*https://www.google.com/maps/place/19.0052,-96.10841
*Resumen de evento*
     PERCIBE EL OLOR DESDE HACE 4 HORAS
INDICA QUE HAY UN OLOR MUY FUERTE DE UN LIQUIDO
REFIERE QUE TIENE DOS MENORES DE EDAD EN CASA
REFIERE QUE EN LA COCINA ESTA MUY IMPREGNADO EL OLOR",
4,2026-07-31 23:12:06,214774235267138@lid,214774235267138,que unidad acudió ?,3EB080E09A74967616E2FB
4,2026-07-31 23:16:07,214774235267138@lid,Você,Unidad 096 a él mandado de Luis Alberto vique,3EB080E09A74967616E2FB
6,2026-08-02 23:06:41,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* 🚑 *Unidad:* Unidad 10

📍 *Ubicación:*
   Costa de canistel 57
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   se esta fugando un gas

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* 🚑 EN CAMINO
👇 *Utiliza las opciones interactivas de abajo para aceptar atender esta emergencia.*",
6,2026-08-02 23:10:13,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* 🚑 *Unidad:* Unidad 10

📍 *Ubicación:*
   Costa de canistel 57
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   se esta fugando un gas

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* 🚑 EN CAMINO
🆔 Para actualizar bitácora:
_Bitacora REP-0165: [tu actualización]_",
